"No.","Time","Source","Destination","Protocol","Length","Info"
"21","8.702105","192.30.253.124","10.1.18.23","TCP","66","443  >  49271 [ACK] Seq=32 Ack=36 Win=31 Len=0 TSval=2008914117 TSecr=850307260"
"22","12.090338","10.1.18.23","192.30.255.113","TLSv1.2","97","Encrypted Alert"
"23","12.091986","10.1.18.23","52.200.15.226","TLSv1.2","97","Encrypted Alert"
"24","12.091986","10.1.18.23","52.200.15.226","TCP","66","49698  >  443 [FIN, ACK] Seq=32 Ack=1 Win=4096 Len=0 TSval=850310720 TSecr=120624085"
"25","12.091987","10.1.18.23","192.30.255.113","TCP","66","49696  >  443 [FIN, ACK] Seq=32 Ack=1 Win=4096 Len=0 TSval=850310720 TSecr=677545768"
"26","12.113788","192.30.255.113","10.1.18.23","TCP","66","443  >  49696 [ACK] Seq=1 Ack=32 Win=41 Len=0 TSval=677556530 TSecr=850310720"
"27","12.113796","192.30.255.113","10.1.18.23","TLSv1.2","97","Encrypted Alert"
"28","12.113797","192.30.255.113","10.1.18.23","TCP","66","443  >  49696 [FIN, ACK] Seq=32 Ack=32 Win=41 Len=0 TSval=677556530 TSecr=850310720"
"29","12.113928","10.1.18.23","192.30.255.113","TCP","54","49696  >  443 [RST] Seq=32 Win=0 Len=0"
"30","12.113929","10.1.18.23","192.30.255.113","TCP","54","49696  >  443 [RST] Seq=32 Win=0 Len=0"
"31","12.114198","192.30.255.113","10.1.18.23","TCP","66","443  >  49696 [ACK] Seq=33 Ack=33 Win=41 Len=0 TSval=677556530 TSecr=850310720"
"32","12.114266","10.1.18.23","192.30.255.113","TCP","54","49696  >  443 [RST] Seq=33 Win=0 Len=0"
"33","12.168037","52.200.15.226","10.1.18.23","TLSv1.2","97","Encrypted Alert"
"34","12.168044","52.200.15.226","10.1.18.23","TCP","66","443  >  49698 [FIN, ACK] Seq=32 Ack=33 Win=156 Len=0 TSval=120634880 TSecr=850310720"
"35","12.168170","10.1.18.23","52.200.15.226","TCP","54","49698  >  443 [RST] Seq=33 Win=0 Len=0"
"36","12.168171","10.1.18.23","52.200.15.226","TCP","54","49698  >  443 [RST] Seq=33 Win=0 Len=0"
"37","29.406951","192.30.253.125","10.1.18.23","TLSv1.2","97","Application Data"
"38","29.407027","10.1.18.23","192.30.253.125","TCP","66","49673  >  443 [ACK] Seq=1 Ack=32 Win=4095 Len=0 TSval=850328027 TSecr=2008919283"
"39","29.407668","10.1.18.23","192.30.253.125","TLSv1.2","101","Application Data"
"40","29.485294","192.30.253.125","10.1.18.23","TCP","66","443  >  49673 [ACK] Seq=32 Ack=36 Win=31 Len=0 TSval=2008919313 TSecr=850328027"
"41","49.887627","192.30.253.125","10.1.18.23","TLSv1.2","97","Application Data"
"42","49.887701","10.1.18.23","192.30.253.125","TCP","66","49664  >  443 [ACK] Seq=1 Ack=32 Win=4095 Len=0 TSval=850348498 TSecr=2008924392"
"43","49.890006","10.1.18.23","192.30.253.125","TLSv1.2","101","Application Data"
"44","49.967676","192.30.253.125","10.1.18.23","TCP","66","443  >  49664 [ACK] Seq=32 Ack=36 Win=31 Len=0 TSval=2008924434 TSecr=850348500"
"45","56.060377","10.1.18.23","138.202.84.49","DNS","93","Standard query 0xf792 A www-google-analytics.l.google.com"
"46","56.063950","138.202.84.49","10.1.18.23","DNS","109","Standard query response 0xf792 A www-google-analytics.l.google.com A 216.58.194.174"
"47","56.066078","10.1.18.23","216.58.194.174","TCP","78","49702  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=850354667 TSecr=0 SACK_PERM=1"
"48","56.067427","10.1.18.23","138.202.84.49","DNS","87","Standard query 0x7a31 A partnerad.l.doubleclick.net"
"49","56.067678","10.1.18.23","138.202.84.49","DNS","88","Standard query 0xf507 A googleads4.g.doubleclick.net"
"50","56.068149","10.1.18.23","138.202.84.49","DNS","83","Standard query 0xa869 A tps701.doubleverify.com"
"51","56.068967","10.1.18.23","138.202.84.49","DNS","85","Standard query 0x4c2e A tps11016.doubleverify.com"
"52","56.069753","138.202.84.49","10.1.18.23","DNS","103","Standard query response 0x7a31 A partnerad.l.doubleclick.net A 216.58.194.162"
"53","56.070390","138.202.84.49","10.1.18.23","DNS","127","Standard query response 0xf507 A googleads4.g.doubleclick.net CNAME pagead.l.doubleclick.net A 172.217.5.98"
"54","56.070392","216.58.194.174","10.1.18.23","TCP","74","443  >  49702 [SYN, ACK] Seq=0 Ack=1 Win=42408 Len=0 MSS=1250 SACK_PERM=1 TSval=2094657220 TSecr=850354667 WS=256"
"55","56.070445","10.1.18.23","216.58.194.174","TCP","66","49702  >  443 [ACK] Seq=1 Ack=1 Win=131200 Len=0 TSval=850354671 TSecr=2094657220"
"56","56.070600","10.1.18.23","216.58.194.162","TCP","78","49703  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=850354671 TSecr=0 SACK_PERM=1"
"57","56.070798","138.202.84.49","10.1.18.23","DNS","161","Standard query response 0xa869 A tps701.doubleverify.com CNAME cacp-hlb.doubleverify.com CNAME cacp-hlb.dvgtm.akadns.net A 63.251.109.132"
"58","56.071164","10.1.18.23","172.217.5.98","TCP","78","49704  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=850354671 TSecr=0 SACK_PERM=1"
"59","56.071556","10.1.18.23","63.251.109.132","TCP","78","49705  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=850354672 TSecr=0 SACK_PERM=1"
"60","56.071662","10.1.18.23","216.58.194.174","TLSv1.2","583","Client Hello"
"61","56.073162","10.1.18.23","138.202.84.49","DNS","84","Standard query 0x8791 A bs.eyeblaster.akadns.net"
"62","56.075650","216.58.194.162","10.1.18.23","TCP","74","443  >  49703 [SYN, ACK] Seq=0 Ack=1 Win=42408 Len=0 MSS=1250 SACK_PERM=1 TSval=3681762558 TSecr=850354671 WS=256"
"63","56.075653","138.202.84.49","10.1.18.23","DNS","119","Standard query response 0x8791 A bs.eyeblaster.akadns.net CNAME bsla.eyeblaster.akadns.net A 12.129.210.52"
"64","56.075653","172.217.5.98","10.1.18.23","TCP","74","443  >  49704 [SYN, ACK] Seq=0 Ack=1 Win=42408 Len=0 MSS=1250 SACK_PERM=1 TSval=2000701665 TSecr=850354671 WS=256"
"65","56.075704","10.1.18.23","172.217.5.98","TCP","66","49704  >  443 [ACK] Seq=1 Ack=1 Win=131200 Len=0 TSval=850354676 TSecr=2000701665"
"66","56.075767","10.1.18.23","216.58.194.162","TCP","66","49703  >  443 [ACK] Seq=1 Ack=1 Win=131200 Len=0 TSval=850354676 TSecr=3681762558"
"67","56.076557","10.1.18.23","12.129.210.52","TCP","78","49706  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=850354676 TSecr=0 SACK_PERM=1"
"68","56.076696","10.1.18.23","172.217.5.98","TLSv1.2","583","Client Hello"
"69","56.076727","10.1.18.23","216.58.194.162","TLSv1.2","583","Client Hello"
"70","56.076791","216.58.194.174","10.1.18.23","TCP","66","443  >  49702 [ACK] Seq=1 Ack=518 Win=43520 Len=0 TSval=2094657226 TSecr=850354672"
"71","56.082271","216.58.194.162","10.1.18.23","TCP","66","443  >  49703 [ACK] Seq=1 Ack=518 Win=43520 Len=0 TSval=3681762565 TSecr=850354677"
"72","56.082274","172.217.5.98","10.1.18.23","TCP","66","443  >  49704 [ACK] Seq=1 Ack=518 Win=43520 Len=0 TSval=2000701672 TSecr=850354677"
"73","56.082837","172.217.5.98","10.1.18.23","TLSv1.2","222","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"74","56.082838","216.58.194.162","10.1.18.23","TLSv1.2","222","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"75","56.082876","10.1.18.23","172.217.5.98","TCP","66","49704  >  443 [ACK] Seq=518 Ack=157 Win=131072 Len=0 TSval=850354682 TSecr=2000701673"
"76","56.082876","10.1.18.23","216.58.194.162","TCP","66","49703  >  443 [ACK] Seq=518 Ack=157 Win=131072 Len=0 TSval=850354682 TSecr=3681762565"
"77","56.083023","10.1.18.23","172.217.5.98","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"78","56.083579","10.1.18.23","216.58.194.162","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"79","56.083863","10.1.18.23","172.217.5.98","TLSv1.2","119","Application Data"
"80","56.083913","10.1.18.23","172.217.5.98","TLSv1.2","116","Application Data"
"81","56.083913","10.1.18.23","172.217.5.98","TLSv1.2","108","Application Data"
"82","56.083914","10.1.18.23","172.217.5.98","TLSv1.2","979","Application Data"
"83","56.084564","10.1.18.23","216.58.194.162","TLSv1.2","119","Application Data"
"84","56.084626","10.1.18.23","216.58.194.162","TLSv1.2","116","Application Data"
"85","56.084634","10.1.18.23","216.58.194.162","TLSv1.2","108","Application Data"
"86","56.084648","10.1.18.23","216.58.194.162","TLSv1.2","617","Application Data"
"87","56.084697","10.1.18.23","216.58.194.162","TLSv1.2","399","Application Data"
"88","56.085651","138.202.84.49","10.1.18.23","DNS","163","Standard query response 0x4c2e A tps11016.doubleverify.com CNAME cacp-hlb.doubleverify.com CNAME cacp-hlb.dvgtm.akadns.net A 63.251.109.132"
"89","56.086638","10.1.18.23","63.251.109.132","TCP","78","49707  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=850354685 TSecr=0 SACK_PERM=1"
"90","56.088182","172.217.5.98","10.1.18.23","TLSv1.2","135","Application Data"
"91","56.088185","216.58.194.162","10.1.18.23","TLSv1.2","135","Application Data"
"92","56.088185","172.217.5.98","10.1.18.23","TCP","66","443  >  49704 [ACK] Seq=226 Ack=1627 Win=45312 Len=0 TSval=2000701678 TSecr=850354683"
"93","56.088228","10.1.18.23","172.217.5.98","TCP","66","49704  >  443 [ACK] Seq=1627 Ack=226 Win=130976 Len=0 TSval=850354686 TSecr=2000701678"
"94","56.088283","10.1.18.23","216.58.194.162","TCP","66","49703  >  443 [ACK] Seq=1598 Ack=226 Win=130976 Len=0 TSval=850354686 TSecr=3681762570"
"95","56.088359","10.1.18.23","172.217.5.98","TLSv1.2","104","Application Data"
"96","56.088390","10.1.18.23","216.58.194.162","TLSv1.2","104","Application Data"
"97","56.089414","172.217.5.98","10.1.18.23","TLSv1.2","104","Application Data"
"98","56.089417","216.58.194.162","10.1.18.23","TCP","66","443  >  49703 [ACK] Seq=226 Ack=714 Win=43520 Len=0 TSval=3681762571 TSecr=850354683"
"99","56.089418","216.58.194.162","10.1.18.23","TLSv1.2","104","Application Data"
"100","56.089418","216.58.194.162","10.1.18.23","TCP","66","443  >  49703 [ACK] Seq=264 Ack=1598 Win=45824 Len=0 TSval=3681762571 TSecr=850354684"
"101","56.089445","10.1.18.23","172.217.5.98","TCP","66","49704  >  443 [ACK] Seq=1665 Ack=264 Win=131008 Len=0 TSval=850354687 TSecr=2000701679"
"102","56.089495","10.1.18.23","216.58.194.162","TCP","66","49703  >  443 [ACK] Seq=1636 Ack=264 Win=131008 Len=0 TSval=850354687 TSecr=3681762571"
"103","56.090192","12.129.210.52","10.1.18.23","TCP","74","443  >  49706 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1250 WS=4 SACK_PERM=1 TSval=1417342038 TSecr=850354676"
"104","56.090223","10.1.18.23","12.129.210.52","TCP","66","49706  >  443 [ACK] Seq=1 Ack=1 Win=131200 Len=0 TSval=850354687 TSecr=1417342038"
"105","56.090488","10.1.18.23","12.129.210.52","TLSv1.2","583","Client Hello"
"106","56.091267","63.251.109.132","10.1.18.23","TCP","60","443  >  49707 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1250"
"107","56.091306","10.1.18.23","63.251.109.132","TCP","54","49707  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"108","56.091521","10.1.18.23","63.251.109.132","TLSv1.2","571","Client Hello"
"109","56.097078","216.58.194.174","10.1.18.23","TLSv1.2","1304","Server Hello"
"110","56.097082","216.58.194.174","10.1.18.23","TCP","1304","443  >  49702 [ACK] Seq=1239 Ack=518 Win=43520 Len=1238 TSval=2094657245 TSecr=850354672 [TCP segment of a reassembled PDU]"
"111","56.097082","216.58.194.174","10.1.18.23","TLSv1.2","743","Certificate, Server Key Exchange, Server Hello Done"
"112","56.097127","10.1.18.23","216.58.194.174","TCP","66","49702  >  443 [ACK] Seq=518 Ack=2477 Win=128736 Len=0 TSval=850354694 TSecr=2094657245"
"113","56.097127","10.1.18.23","216.58.194.174","TCP","66","49702  >  443 [ACK] Seq=518 Ack=3154 Win=128064 Len=0 TSval=850354694 TSecr=2094657245"
"114","56.097182","10.1.18.23","216.58.194.174","TCP","66","[TCP Window Update] 49702  >  443 [ACK] Seq=518 Ack=3154 Win=131072 Len=0 TSval=850354694 TSecr=2094657245"
"115","56.100088","63.251.109.132","10.1.18.23","TLSv1.2","590","Server Hello"
"116","56.100090","63.251.109.132","10.1.18.23","TCP","590","443  >  49707 [ACK] Seq=537 Ack=518 Win=11792 Len=536 [TCP segment of a reassembled PDU]"
"117","56.100091","63.251.109.132","10.1.18.23","TCP","590","443  >  49707 [ACK] Seq=1073 Ack=518 Win=11792 Len=536 [TCP segment of a reassembled PDU]"
"118","56.100092","63.251.109.132","10.1.18.23","TCP","590","443  >  49707 [ACK] Seq=1609 Ack=518 Win=11792 Len=536 [TCP segment of a reassembled PDU]"
"119","56.100092","63.251.109.132","10.1.18.23","TCP","590","443  >  49707 [ACK] Seq=2145 Ack=518 Win=11792 Len=536 [TCP segment of a reassembled PDU]"
"120","56.100095","63.251.109.132","10.1.18.23","TCP","590","443  >  49707 [ACK] Seq=2681 Ack=518 Win=11792 Len=536 [TCP segment of a reassembled PDU]"
"121","56.100140","10.1.18.23","63.251.109.132","TCP","54","49707  >  443 [ACK] Seq=518 Ack=1073 Win=65535 Len=0"
"122","56.100141","10.1.18.23","63.251.109.132","TCP","54","49707  >  443 [ACK] Seq=518 Ack=2145 Win=65535 Len=0"
"123","56.100178","10.1.18.23","63.251.109.132","TCP","54","49707  >  443 [ACK] Seq=518 Ack=3217 Win=65535 Len=0"
"124","56.100267","63.251.109.132","10.1.18.23","TCP","590","443  >  49707 [ACK] Seq=3217 Ack=518 Win=11792 Len=536 [TCP segment of a reassembled PDU]"
"125","56.100270","63.251.109.132","10.1.18.23","TCP","590","443  >  49707 [ACK] Seq=3753 Ack=518 Win=11792 Len=536 [TCP segment of a reassembled PDU]"
"126","56.100270","63.251.109.132","10.1.18.23","TLSv1.2","590","Certificate [TCP segment of a reassembled PDU]"
"127","56.100271","63.251.109.132","10.1.18.23","TLSv1.2","105","Server Key Exchange, Server Hello Done"
"128","56.100293","10.1.18.23","63.251.109.132","TCP","54","49707  >  443 [ACK] Seq=518 Ack=4289 Win=65535 Len=0"
"129","56.100345","10.1.18.23","63.251.109.132","TCP","54","49707  >  443 [ACK] Seq=518 Ack=4876 Win=65535 Len=0"
"130","56.104739","12.129.210.52","10.1.18.23","TCP","164","[TCP Previous segment not captured] 443  >  49706 [PSH, ACK] Seq=1239 Ack=518 Win=14856 Len=98 TSval=1417342042 TSecr=850354688 [TCP segment of a reassembled PDU]"
"131","56.104741","12.129.210.52","10.1.18.23","TCP","164","[TCP Previous segment not captured] 443  >  49706 [PSH, ACK] Seq=2575 Ack=518 Win=14856 Len=98 TSval=1417342042 TSecr=850354688 [TCP segment of a reassembled PDU]"
"132","56.104742","12.129.210.52","10.1.18.23","TCP","95","[TCP Previous segment not captured] 443  >  49706 [PSH, ACK] Seq=3911 Ack=518 Win=14856 Len=29 TSval=1417342042 TSecr=850354688 [TCP segment of a reassembled PDU], Server Hello Done"
"133","56.104784","10.1.18.23","12.129.210.52","TCP","78","[TCP Dup ACK 104#1] 49706  >  443 [ACK] Seq=518 Ack=1 Win=131200 Len=0 TSval=850354701 TSecr=1417342038 SLE=1239 SRE=1337"
"134","56.104784","10.1.18.23","12.129.210.52","TCP","86","[TCP Dup ACK 104#2] 49706  >  443 [ACK] Seq=518 Ack=1 Win=131200 Len=0 TSval=850354701 TSecr=1417342038 SLE=2575 SRE=2673 SLE=1239 SRE=1337"
"135","56.104844","10.1.18.23","12.129.210.52","TCP","94","[TCP Dup ACK 104#3] 49706  >  443 [ACK] Seq=518 Ack=1 Win=131200 Len=0 TSval=850354701 TSecr=1417342038 SLE=3911 SRE=3940 SLE=2575 SRE=2673 SLE=1239 SRE=1337"
"136","56.106119","12.129.210.52","10.1.18.23","TLSv1.2","1304","[TCP Fast Retransmission] , Server Hello"
"137","56.106121","12.129.210.52","10.1.18.23","TCP","1304","[TCP Out-Of-Order] 443  >  49706 [PSH, ACK] Seq=1337 Ack=518 Win=14856 Len=1238 TSval=1417342042 TSecr=850354688 [TCP segment of a reassembled PDU]"
"138","56.106122","12.129.210.52","10.1.18.23","TCP","1304","[TCP Out-Of-Order] 443  >  49706 [PSH, ACK] Seq=2673 Ack=518 Win=14856 Len=1238 TSval=1417342042 TSecr=850354688 [TCP segment of a reassembled PDU]"
"139","56.106155","10.1.18.23","12.129.210.52","TCP","86","49706  >  443 [ACK] Seq=518 Ack=1337 Win=129888 Len=0 TSval=850354702 TSecr=1417342042 SLE=3911 SRE=3940 SLE=2575 SRE=2673"
"140","56.106155","10.1.18.23","12.129.210.52","TCP","78","49706  >  443 [ACK] Seq=518 Ack=2673 Win=128544 Len=0 TSval=850354702 TSecr=1417342042 SLE=3911 SRE=3940"
"141","56.106155","10.1.18.23","12.129.210.52","TCP","66","49706  >  443 [ACK] Seq=518 Ack=3940 Win=127264 Len=0 TSval=850354702 TSecr=1417342042"
"142","56.109394","10.1.18.23","12.129.210.52","TCP","66","[TCP Window Update] 49706  >  443 [ACK] Seq=518 Ack=3940 Win=131072 Len=0 TSval=850354705 TSecr=1417342042"
"143","56.109770","10.1.18.23","216.58.194.174","TLSv1.2","159","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"144","56.112070","216.58.194.162","10.1.18.23","TLSv1.2","578","Application Data"
"145","56.112073","216.58.194.162","10.1.18.23","TLSv1.2","104","Application Data"
"146","56.112074","216.58.194.162","10.1.18.23","TLSv1.2","112","Application Data"
"147","56.112118","10.1.18.23","216.58.194.162","TCP","66","49703  >  443 [ACK] Seq=1636 Ack=776 Win=130560 Len=0 TSval=850354707 TSecr=3681762594"
"148","56.112118","10.1.18.23","216.58.194.162","TCP","66","49703  >  443 [ACK] Seq=1636 Ack=814 Win=130496 Len=0 TSval=850354707 TSecr=3681762594"
"149","56.112173","10.1.18.23","216.58.194.162","TCP","66","49703  >  443 [ACK] Seq=1636 Ack=860 Win=130464 Len=0 TSval=850354707 TSecr=3681762594"
"150","56.114493","216.58.194.174","10.1.18.23","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"151","56.114497","216.58.194.174","10.1.18.23","TLSv1.2","135","Application Data"
"152","56.114541","10.1.18.23","216.58.194.174","TCP","66","49702  >  443 [ACK] Seq=611 Ack=3205 Win=131008 Len=0 TSval=850354709 TSecr=2094657264"
"153","56.114542","10.1.18.23","216.58.194.174","TCP","66","49702  >  443 [ACK] Seq=611 Ack=3274 Win=130944 Len=0 TSval=850354709 TSecr=2094657264"
"154","56.118505","12.129.210.52","10.1.18.23","TLSv1.2","1304","[TCP Spurious Retransmission] , Server Hello"
"155","56.118541","10.1.18.23","12.129.210.52","TCP","78","[TCP Dup ACK 141#1] 49706  >  443 [ACK] Seq=518 Ack=3940 Win=131072 Len=0 TSval=850354713 TSecr=1417342042 SLE=1 SRE=1239"
"156","56.119306","172.217.5.98","10.1.18.23","TLSv1.2","711","Application Data"
"157","56.119309","172.217.5.98","10.1.18.23","TLSv1.2","104","Application Data"
"158","56.119310","172.217.5.98","10.1.18.23","TLSv1.2","112","Application Data"
"159","56.119352","10.1.18.23","172.217.5.98","TCP","66","49704  >  443 [ACK] Seq=1665 Ack=909 Win=130400 Len=0 TSval=850354713 TSecr=2000701709"
"160","56.119353","10.1.18.23","172.217.5.98","TCP","66","49704  >  443 [ACK] Seq=1665 Ack=947 Win=130368 Len=0 TSval=850354713 TSecr=2000701709"
"161","56.119409","10.1.18.23","172.217.5.98","TCP","66","49704  >  443 [ACK] Seq=1665 Ack=993 Win=130336 Len=0 TSval=850354713 TSecr=2000701709"
"162","56.121044","12.129.210.52","10.1.18.23","TCP","1304","[TCP Spurious Retransmission] 443  >  49706 [PSH, ACK] Seq=1337 Ack=518 Win=14856 Len=1238 TSval=1417342046 TSecr=850354702 [TCP segment of a reassembled PDU]"
"163","56.121047","12.129.210.52","10.1.18.23","TCP","1304","[TCP Spurious Retransmission] 443  >  49706 [PSH, ACK] Seq=2673 Ack=518 Win=14856 Len=1238 TSval=1417342046 TSecr=850354702 [TCP segment of a reassembled PDU]"
"164","56.121080","10.1.18.23","12.129.210.52","TCP","78","[TCP Dup ACK 141#2] 49706  >  443 [ACK] Seq=518 Ack=3940 Win=131072 Len=0 TSval=850354715 TSecr=1417342042 SLE=1337 SRE=2575"
"165","56.121080","10.1.18.23","12.129.210.52","TCP","78","[TCP Dup ACK 141#3] 49706  >  443 [ACK] Seq=518 Ack=3940 Win=131072 Len=0 TSval=850354715 TSecr=1417342042 SLE=2673 SRE=3911"
"166","56.121306","216.58.194.162","10.1.18.23","TLSv1.2","227","Application Data"
"167","56.121324","10.1.18.23","216.58.194.162","TCP","66","49703  >  443 [ACK] Seq=1636 Ack=1021 Win=130304 Len=0 TSval=850354715 TSecr=3681762603"
"168","56.132553","10.1.18.23","63.251.109.132","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"169","56.132922","10.1.18.23","12.129.210.52","TLSv1.2","408","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"170","56.136072","10.1.18.23","216.58.194.162","TLSv1.2","112","Application Data"
"171","56.136191","10.1.18.23","216.58.194.174","TLSv1.2","119","Application Data"
"172","56.136201","10.1.18.23","216.58.194.174","TLSv1.2","116","Application Data"
"173","56.136219","10.1.18.23","216.58.194.174","TLSv1.2","108","Application Data"
"174","56.136301","10.1.18.23","216.58.194.174","TLSv1.2","719","Application Data"
"175","56.136301","10.1.18.23","216.58.194.174","TLSv1.2","490","Application Data"
"176","56.136352","10.1.18.23","172.217.5.98","TLSv1.2","112","Application Data"
"177","56.136397","10.1.18.23","216.58.194.174","TLSv1.2","104","Application Data"
"178","56.137652","63.251.109.132","10.1.18.23","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"179","56.137700","10.1.18.23","63.251.109.132","TCP","54","49707  >  443 [ACK] Seq=644 Ack=4927 Win=65535 Len=0"
"180","56.138160","10.1.18.23","63.251.109.132","TLSv1.2","568","Application Data"
"181","56.140109","10.1.18.23","63.251.109.132","TCP","78","49708  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=850354732 TSecr=0 SACK_PERM=1"
"182","56.140301","10.1.18.23","63.251.109.132","TCP","78","49709  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=850354732 TSecr=0 SACK_PERM=1"
"183","56.140579","10.1.18.23","63.251.109.132","TCP","78","49710  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=850354732 TSecr=0 SACK_PERM=1"
"184","56.140893","10.1.18.23","63.251.109.132","TCP","78","49711  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=850354732 TSecr=0 SACK_PERM=1"
"185","56.141407","216.58.194.174","10.1.18.23","TCP","66","443  >  49702 [ACK] Seq=3274 Ack=714 Win=43520 Len=0 TSval=2094657290 TSecr=850354729"
"186","56.141410","216.58.194.174","10.1.18.23","TLSv1.2","104","Application Data"
"187","56.141411","216.58.194.174","10.1.18.23","TCP","66","443  >  49702 [ACK] Seq=3312 Ack=1409 Win=44800 Len=0 TSval=2094657290 TSecr=850354729"
"188","56.141442","10.1.18.23","216.58.194.174","TCP","66","49702  >  443 [ACK] Seq=1871 Ack=3312 Win=131008 Len=0 TSval=850354733 TSecr=2094657290"
"189","56.142139","216.58.194.174","10.1.18.23","TCP","66","443  >  49702 [ACK] Seq=3312 Ack=1871 Win=46336 Len=0 TSval=2094657291 TSecr=850354729"
"190","56.145418","63.251.109.132","10.1.18.23","TCP","60","443  >  49709 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1250"
"191","56.145420","63.251.109.132","10.1.18.23","TCP","60","443  >  49710 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1250"
"192","56.145421","63.251.109.132","10.1.18.23","TCP","590","443  >  49707 [ACK] Seq=4927 Ack=1158 Win=12864 Len=536 [TCP segment of a reassembled PDU]"
"193","56.145422","63.251.109.132","10.1.18.23","TLSv1.2","582","Application Data"
"194","56.145475","10.1.18.23","63.251.109.132","TCP","54","49709  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"195","56.145476","10.1.18.23","63.251.109.132","TCP","54","49710  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
